"Add to Wish List", "Thêm vào danh sách ưa thích"
"Add to Compare", "Add to Compare"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 Products found"
"Regular Price", "was"
"Shop By","Shop By"
"Remove item", "Xóa"
"Update Shopping Cart", "Cập nhật giỏ hàng"
"Continue to Shipping Information", "Chọn cách giao hàng"
"Sign In", "Đăng nhập"
"Sign Up", "Đăng ký"
"and up", "& up"
"%1 items", "%1"
"1 item", "1"
"We use cookies to make your experience better.", "Chúng tôi sử dụng cookie để tăng trải nghiệm của khách hàng."
"To comply with the new e-Privacy directive, you agree to <a href=""%1"">the privacy policy and our use of cookies</a>.", "Đồng ý với <a href=""%1"">chính sách sử dụng cookie của chúng tôi</a>."
"Continue", "Tiếp tục"
"Shop By Department", "Mua hàng theo danh mục"
"I'm looking for...", "Tôi muốn tìm..."
"Search", "Tìm kiếm"
"Sort By", "Sắp xếp theo"
"Show", "Hiển thị"
"View as", "Xem dưới dạng"
"Categories", "Danh mục"
"Position", "Vị trí",
"You added %1 to your <a href=""%2"">shopping cart</a>.", "Bạn đã thêm %1 vào <a href=""%2"">giỏ hàng</a>."
"Adding...", "Đang thêm..."
"Added", "Đã thêm"
"No Result", "Không có kết quả"
"View all", "Xem tất cả"
"%1 products", "%1 sản phẩm"
